"id","pop","stationName","latitude","longitude","departement","marque","Gazole","E10","SP98"
"38260005","R","Rue Salpêtrière - LA CôTE-SAINT-ANDRé",45.39207,45.39207,"38","Casino","1.949","1.899","1.999"
"69200001","R","BD JOLIOT CURIE - VéNISSIEUX",45.717704140586,45.717704140586,"69","Carrefour","1.904","1.83","1.908"
"20200006","R","37 ROUTE DU CAP - SAN-MARTINO-DI-LOTA",42.72858526,42.72858526,"20","Total","02.04",NA,NA
"60000007","R","AVENUE NELSON MANDELA - Beauvais",49.431,49.431,"60","Carrefour","1.936",NA,"1.953"
"65200003","R","26 Avenue Geruzet - Bagnères-de-Bigorre",43.067,43.067,"65","Carrefour Market","1.939",NA,"1.953"
"90100004","R","62 faubourg de Belfort - Delle",47.511,47.511,"90","Avia","1.999",NA,"1.989"
"20137009","R","Les 4 Chemins BP115 - Porto-Vecchio",41.598,41.598,"20","VITO","02.07",NA,NA
"2000005","R","97 Avenue Charles de Gaulle - Laon",49.569,49.569,"02","Total","2.004","1.983","2.093"
"16260002","R","2 Rue de la Gare - CHASSENEUIL-SUR-BONNIEURE",45.827,45.827,"16","Intermarche","1.932","1.909",NA
"41200001","R","ZAC DE PLAISANCE - ROMORANTIN-LANTHENAY",47.36,47.36,"41","Carrefour","1.915","1.929","1.97"
"63100007","R","2 Rue Georges Besse - CLERMONT-FERRAND",45.78049,45.78049,"63","Leclerc","1.938","1.879","1.99"
"91000001","R","RUE DE VILLEROY - BONDOUFLE",48.613,48.613,"91","Total","2.051","2.011","2.121"
"63110002","R","rue des Frères Lumière - BEAUMONT",45.745,45.745,"63","Auchan","1.938","1.875","1.971"
"81100010","R","ROUTE DE MAZAMET - ZONE DU SIALA - CASTRES",43.59,43.59,"81","Leclerc","1.919","1.859","1.949"
"87230002","R","14 avenue François Mitterrand - Châlus",45.653,45.653,"87","Intermarche","1.893",NA,"1.918"
"80210002","R","ZONE INDUSTRIELLE - FEUQUIèRES-EN-VIMEU",50.063,50.063,"80","Total","2.019","1.968","2.078"
"40170004","R","Route des Lacs - SAINT-JULIEN-EN-BORN",44.067,44.067,"40","Carrefour Contact",NA,NA,NA
"46120001","R","STATION SERVICE TOTAL - CD 940 - LACAPELLE-MARIVAL",44.728,44.728,"46","Total","2.021","1.977","2.087"
"37003001","R","RUE DES BORDIERS - TOURS",47.425,47.425,"37","Leclerc","1.885","1.879","1.939"
"80100001","R","RUE DES CORDELIERS - ABBEVILLE",50.10376,50.10376,"80","Carrefour Market","1.945",NA,"1.962"
"59135001","R","cd 13Lieu dit LEBERGER - BELLAING",50.3649382924,50.3649382924,"59","Leclerc","1.915","1.887","1.98"
"79140001","R","BOULEVARD GEORGES POMPIDOU - Cerizay",46.82583,46.82583,"79","Systeme U","1.899","1.894","1.997"
"81310003","R","LIEU DIT LES ROBERTES - Lisle-sur-Tarn",43.864,43.864,"81","Intermarche","1.918","1.848","1.898"
"71370001","R","PLACE DU MARCHE - Saint-Germain-du-Plain",46.705,46.705,"71","Atac","1.929",NA,"1.949"
"60190002","R","Rue de la Sècherie - Moyvillers",49.41449,49.41449,"60","Intermarche",NA,NA,NA
"35500001","R","21 Route de Redon - VITRé",48.1118872889,48.1118872889,"35","Systeme U","1.871","1.826","1.951"
"17160002","R","RUE MAXIME BOURDEAU - Matha",45.87435,45.87435,"17","Systeme U","1.94","1.909","1.976"
"1430004","R","2 Rue de l'Égalité - Maillat",46.128,46.128,"01","Independant sans enseigne",NA,NA,NA
"40000007","R","410 Avenue du Président John F. Kennedy - Mont-de-Marsan",43.884,43.884,"40","Intermarche","1.929","1.889",NA
"77186001","R","4 Avenue Pierre Mendès France - NOISIEL",48.841,48.841,"77","Total","2.049","1.998","2.108"
"71500004","R","92 Rue des Bordes - LOUHANS",46.622,46.622,"71","Leclerc","1.969","1.899","1.989"
"45140001","R","Avenue Pierre Mendes France - SAINT-JEAN-DE-LA-RUELLE",47.902,47.902,"45","Auchan","1.923","1.868",NA
"3100002","R","52 Rue Paul Constans - MONTLUçON",46.343,46.343,"03","Total","2.028","1.987","2.097"
"62750002","R","Rue du Grand Mont - Loos-en-Gohelle",50.44606,50.44606,"62","Intermarche","1.916","1.865","1.926"
"72016001","R","Route de Bonnetable - LE MANS",48.0220429324,48.0220429324,"72","Leclerc","1.922","1.892","1.956"
"60400005","R","70 avenue Jean Jaurès - NOYON",49.575,49.575,"60","Total Access","1.946","1.894","1.971"
"83130004","R","119 rue Pierre Revelli - LA GARDE",43.136590241,43.136590241,"83","Intermarche","1.937","1.877",NA
"23000001","R","46 Avenue d'Auvergne - Guéret",46.168,46.168,"23","Carrefour","1.954","1.918","1.998"
"49420001","R","5 RUE DE LA GRAND PREE - POUANCE, OMBREE D'ANJOU",47.743,47.743,"49","Systeme U","1.889","1.849",NA
"77330003","R","84 Rue François de Tessan - OZOIR-LA-FERRIèRE",48.757,48.757,"77","Leclerc","1.919","1.87","1.979"
"60100004","R","8 Route de Chantilly - CREIL",49.251,49.251,"60","Esso","2.049","2.019","2.109"
"6110004","R","150 AVENUE DU CAMPON - Le Cannet",43.575,43.575,"06","Esso Express","1.927","1.876","1.956"
"64100009","R","Rond-Point Grand-Basque - BAYONNE",43.491699414,43.491699414,"64","Intermarche","1.959","1.926","1.998"
"77610002","R","Rue Bertaux - FONTENAY-TRéSIGNY",48.71,48.71,"77","Intermarche","1.935","1.869","1.979"
"68320002","R","Route de Colmar - FORTSCHWIHR",48.096,48.096,"68","Carrefour Contact","1.909",NA,"1.909"
"42300010","R","52 bd Jean-Baptiste Clément - ROANNE",46.041,46.041,"42","Dyneff","02.02",NA,NA
"8000008","R","197 Avenue Carnot - Charleville-Mézières",49.746,49.746,"08","Intermarche","1.959","1.927","1.986"
"53000011","R","248 RUE DE BRETAGNE - LAVAL",48.07,48.07,"53","Total Access","1.934","1.901","1.984"
"78120013","R","1 RUE AUGUSTE MOUTIE - RAMBOUILLET",48.644,48.644,"78","Total","2.084","2.034","2.144"
"3500003","R","Quartier Tivoli - SAINT-POURCAIN-SUR-SIOULE",46.30650562,46.30650562,"03","Total","2.028","1.977","2.087"
"78120012","R","RN 10 LIEU DIT L'ABBE - SONCHAMP",48.568,48.568,"78","Total","2.028","1.964",NA
"6200028","R","PROMENADE DES ANGLAIS - NICE",43.675,43.675,"06","Total Access","1.944","1.887","1.984"
"40270005","R","42 AVENUE DE MONT DE MARSAN - GRENADE SUR L'ADOUR",43.78,43.78,"40","Total","2.023",NA,NA
"1170003","R","Route de Divonne les Bains - Gex",46.33755,46.33755,"01","Intermarche","1.931","1.87","1.946"
"67700001","R","3 Rue Sainte-Marie - SAVERNE",48.736,48.736,"67","Supermarche Match",NA,NA,NA
"30330001","R","AVENUE DE LA MAYRE - BAGNOLS-SUR-CèZE",44.15673,44.15673,"30","Carrefour Market","1.922","1.887","1.889"
